,name,company,year,Price,kms_driven,fuel_type
159,Toyota Etios GD,Toyota,2013,275000.0,24800,Petrol
160,Hyundai i20 Sportz,Hyundai,2014,370000.0,60000,Diesel
161,Hyundai i10 Sportz,Hyundai,2010,168000.0,45872,Petrol
162,Chevrolet Beat LT,Chevrolet,2011,150000.0,40000,Diesel
163,Chevrolet Beat LS,Chevrolet,2011,145000.0,45000,Diesel
164,Chevrolet Beat LT,Chevrolet,2012,98500.0,38000,Diesel
165,Mahindra Scorpio VLX,Mahindra,2014,699000.0,50000,Diesel
166,Tata Indigo CS,Tata,2011,85000.0,11400,Diesel
167,Toyota Corolla Altis,Toyota,2015,575000.0,42000,Petrol
168,Honda City 1.5,Honda,2014,549000.0,39000,Petrol
169,Maruti Suzuki Swift,Maruti,2011,209000.0,47000,Diesel
170,Hyundai Eon Era,Hyundai,2013,185000.0,27000,Petrol
171,Mahindra Scorpio S10,Mahindra,2015,900000.0,97200,Diesel
172,Mahindra XUV500,Mahindra,2014,699999.0,52000,Diesel
173,Honda Brio,Honda,2012,224999.0,30000,Petrol
174,Ford Fiesta,Ford,2011,274999.0,55000,Diesel
175,Honda Amaze,Honda,2013,284999.0,46000,Diesel
176,Honda City,Honda,2015,599999.0,30000,Diesel
177,Maruti Suzuki Wagon,Maruti,2012,199999.0,44000,Petrol
178,Honda City,Honda,2014,544999.0,45000,Diesel
179,Hyundai i20,Hyundai,2009,199000.0,31000,Petrol
180,Tata Indigo eCS,Tata,2016,320000.0,175430,Diesel
181,Hyundai Fluidic Verna,Hyundai,2015,540000.0,38000,Diesel
182,Mahindra Quanto C8,Mahindra,2013,340000.0,37000,Diesel
183,Fiat Petra ELX,Fiat,2008,75000.0,65000,Petrol
184,Skoda Fabia 1.2L,Skoda,2011,159500.0,38200,Diesel
185,Mini Cooper S,Mini,2013,1891111.0,13000,Petrol
186,Hyundai Santro Xing,Hyundai,2005,49000.0,7500,Petrol
187,Maruti Suzuki Ciaz,Maruti,2016,700000.0,3350,Petrol
188,Maruti Suzuki Zen,Maruti,2000,55000.0,60000,Petrol
189,Honda City,Honda,2015,448999.0,54000,Petrol
190,Hyundai Creta 1.6,Hyundai,2017,895000.0,32000,Petrol
191,Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000,Diesel
192,Mahindra Scorpio SLE,Mahindra,2012,565000.0,62000,Diesel
193,Toyota Innova 2.5,Toyota,2006,365000.0,73000,Diesel
194,Maruti Suzuki Alto,Maruti,2011,145000.0,41000,Petrol
195,Maruti Suzuki Wagon,Maruti,2011,210000.0,35000,Petrol
196,Tata Nano Cx,Tata,2013,40000.0,2200,Petrol
197,Maruti Suzuki Alto,Maruti,2013,125000.0,39000,Petrol
198,Maruti Suzuki Wagon,Maruti,2009,135000.0,45000,Petrol
199,Maruti Suzuki Swift,Maruti,2006,135000.0,45000,Petrol
200,Tata Sumo Victa,Tata,2012,285000.0,65000,Diesel
201,Maruti Suzuki Wagon,Maruti,2010,145000.0,54870,Petrol
202,Maruti Suzuki Alto,Maruti,2010,135000.0,34580,Petrol
203,Volkswagen Passat Diesel,Volkswagen,2009,450000.0,97000,Diesel
204,Renault Scala RxL,Renault,2015,375000.0,25000,Diesel
205,Mahindra Quanto C8,Mahindra,2013,375000.0,20000,Diesel
206,Hyundai Grand i10,Hyundai,2014,365000.0,20000,Petrol
207,Hyundai i20 Active,Hyundai,2015,500000.0,18000,Petrol
208,Mahindra Xylo E4,Mahindra,2012,400000.0,35000,Diesel
209,Mahindra Jeep MM,Mahindra,2019,390000.0,60,Diesel
210,Renault Duster 110PS,Renault,2012,501000.0,35000,Diesel
211,Mahindra Bolero SLE,Mahindra,2013,330000.0,80200,Diesel
212,Force Motors Force,Force,2015,580000.0,3200,Diesel
213,Maruti Suzuki SX4,Maruti,2012,265000.0,46000,Diesel
214,Mahindra Jeep CL550,Mahindra,2019,379000.0,0,Diesel
215,Maruti Suzuki Alto,Maruti,2015,219000.0,5000,Petrol
216,Mahindra Jeep CL550,Mahindra,2018,385000.0,588,Diesel
217,Toyota Etios,Toyota,2011,275000.0,36000,Diesel
218,Volkswagen Polo,Volkswagen,2015,330000.0,38000,Diesel
219,Honda City ZX,Honda,2008,110000.0,45000,Petrol
220,Maruti Suzuki Wagon,Maruti,2006,80000.0,71200,Petrol
221,Honda City VX,Honda,2016,519000.0,52000,Diesel
222,Mahindra Thar CRDe,Mahindra,2016,730000.0,29000,Diesel
223,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000.0,47000,Diesel
224,Audi A4 1.8,Audi,2009,699000.0,47000,Petrol
225,Mercedes Benz GLA,Mercedes,2015,2000000.0,20000,Diesel
226,Land Rover Freelander,Land,2015,2100000.0,30000,Diesel
227,Renault Kwid RXT,Renault,2017,340000.0,5000,Petrol
228,Tata Aria Pleasure,Tata,2014,390000.0,35000,Diesel
229,Mercedes Benz B,Mercedes,2014,1400000.0,31000,Petrol
230,Datsun GO T,Datsun,2016,245000.0,7000,Petrol
231,Tata Indigo eCS,Tata,2016,320000.0,175430,Diesel
232,Tata Indigo eCS,Tata,2016,320000.0,175400,Diesel
233,Honda Jazz VX,Honda,2016,450000.0,41000,Petrol
234,Honda Amaze 1.2,Honda,2014,311000.0,33000,Petrol
235,Honda Amaze,Honda,2013,284999.0,46000,Diesel
236,Honda City,Honda,2012,399999.0,45000,Petrol
237,Honda City,Honda,2015,599999.0,39000,Diesel
238,Honda Amaze,Honda,2015,344999.0,22000,Petrol
239,Audi A4 1.8,Audi,2009,699000.0,47000,Petrol
240,Force Motors Force,Force,2015,580000.0,3200,Diesel
241,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000,Diesel
242,Hyundai i20 Active,Hyundai,2015,535000.0,37000,Diesel
243,Mini Cooper S,Mini,2013,1891111.0,13000,Petrol
244,Maruti Suzuki Ciaz,Maruti,2017,699000.0,14000,Petrol
245,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000,Diesel
246,Honda Amaze,Honda,2013,284999.0,46000,Diesel
247,Hyundai Eon Sportz,Hyundai,2012,178000.0,30000,Petrol
248,Tata Sumo Gold,Tata,2013,300000.0,50000,Diesel
249,Maruti Suzuki Wagon,Maruti,2003,90000.0,45000,Petrol
250,Maruti Suzuki Esteem,Maruti,2006,95000.0,45000,Petrol
251,Maruti Suzuki Eeco,Maruti,2015,255000.0,9300,Petrol
252,Chevrolet Enjoy 1.4,Chevrolet,2013,245000.0,55000,Diesel
253,Hyundai i20 Asta,Hyundai,2012,329500.0,36200,Diesel
254,Ford Figo Diesel,Ford,2014,195000.0,50000,Diesel
255,Maruti Suzuki Eeco,Maruti,2015,251111.0,55000,Petrol
256,Maruti Suzuki Ertiga,Maruti,2014,569999.0,45000,Petrol
257,Maruti Suzuki Esteem,Maruti,2007,69999.0,51000,Petrol
258,Maruti Suzuki Ritz,Maruti,2014,299999.0,19000,Petrol
259,Maruti Suzuki Dzire,Maruti,2009,220000.0,46000,Petrol
260,Maruti Suzuki Ritz,Maruti,2013,399999.0,33000,Diesel
261,Maruti Suzuki SX4,Maruti,2010,249999.0,36000,Petrol
262,Maruti Suzuki Wagon,Maruti,2015,289999.0,22000,Petrol
263,Mini Cooper S,Mini,2013,1891111.0,13500,Petrol
264,Nissan Terrano XL,Nissan,2015,499999.0,60000,Diesel
265,Renault Duster 85,Renault,2013,489999.0,27000,Diesel
266,Renault Duster 85,Renault,2014,489999.0,59000,Diesel
267,Renault Duster 85,Renault,2015,549999.0,19000,Diesel
268,Maruti Suzuki Dzire,Maruti,2013,380000.0,30000,Petrol
269,Renault Kwid RXT,Renault,2018,325000.0,15000,Petrol
270,Maruti Suzuki Maruti,Maruti,2003,57000.0,56758,Petrol
271,Renault Kwid 1.0,Renault,2018,349999.0,10000,Petrol
272,Renault Lodgy 85,Renault,2018,689999.0,20000,Diesel
273,Renault Scala RxL,Renault,2014,349999.0,49000,Diesel
274,Hyundai Grand i10,Hyundai,2014,410000.0,41000,Petrol
275,Maruti Suzuki Swift,Maruti,2011,225000.0,45000,Petrol
276,Chevrolet Beat LS,Chevrolet,2010,120000.0,43000,Petrol
277,Tata Indigo eCS,Tata,2016,320000.0,175430,Diesel
278,Hyundai Santro Xing,Hyundai,2000,59000.0,56450,Petrol
279,Hyundai Fluidic Verna,Hyundai,2015,540000.0,38000,Diesel
280,Chevrolet Beat LS,Chevrolet,2010,80000.0,56000,Petrol
281,Mahindra Quanto C8,Mahindra,2013,340000.0,37000,Diesel
282,Fiat Petra ELX,Fiat,2008,75000.0,65000,Petrol
283,Chevrolet Beat LS,Chevrolet,2015,220000.0,32700,Petrol
284,Skoda Fabia 1.2L,Skoda,2011,159500.0,38200,Diesel
285,Ford EcoSport Titanium,Ford,2016,599000.0,30000,Diesel
286,Hyundai Accent GLX,Hyundai,2006,80000.0,56000,Petrol
287,Maruti Suzuki Swift,Maruti,2010,404688.53,52000,Diesel
288,Mahindra TUV300 T4,Mahindra,2016,675000.0,9000,Diesel
289,Mini Cooper S,Mini,2013,1891111.0,13000,Petrol
290,Mini Cooper S,Mini,2013,1891111.0,13000,Petrol
291,Tata Indica V2,Tata,2008,150000.0,11000,Petrol
292,Mini Cooper S,Mini,2013,1891111.0,13000,Petrol
293,Tata Indigo CS,Tata,2009,72500.0,46000,Diesel
294,Maruti Suzuki Swift,Maruti,2019,610000.0,73,Petrol
295,Mahindra Scorpio VLX,Mahindra,2004,230000.0,160000,Diesel
296,Tata Indica eV2,Tata,2017,404688.53,84000,Diesel
297,Honda Accord,Honda,2009,175000.0,58559,Petrol
298,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000,Diesel
299,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000,Diesel
300,Ford EcoSport Titanium,Ford,2014,520000.0,57000,Diesel
301,Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000,Diesel
302,Honda Amaze,Honda,2014,299999.0,37000,Petrol
303,Maruti Suzuki Dzire,Maruti,2012,299999.0,40000,Petrol
304,Honda City,Honda,2011,284999.0,55000,Petrol
305,Mahindra Scorpio 2.6,Mahindra,2007,220000.0,170000,Diesel
306,Maruti Suzuki Dzire,Maruti,2014,424999.0,55000,Diesel
307,Honda City,Honda,2015,644999.0,39000,Petrol
308,Honda Mobilio,Honda,2014,399999.0,44000,Petrol
309,Toyota Corolla Altis,Toyota,2009,199999.0,65000,Petrol
310,Honda City,Honda,2014,584999.0,39000,Petrol
311,Skoda Laura,Skoda,2012,349999.0,44000,Diesel
312,Renault Duster,Renault,2015,449999.0,49000,Diesel
313,Maruti Suzuki Ertiga,Maruti,2018,799999.0,9000,Diesel
314,Maruti Suzuki Dzire,Maruti,2015,444999.0,45000,Diesel
315,Mahindra XUV500,Mahindra,2014,649999.0,47000,Diesel
316,Hyundai Verna Fluidic,Hyundai,2012,444999.0,40000,Diesel
317,Maruti Suzuki Vitara,Maruti,2016,689999.0,29000,Diesel
318,Maruti Suzuki Wagon,Maruti,2016,344999.0,15000,Petrol
319,Mahindra Scorpio,Mahindra,2015,944999.0,45000,Diesel
320,Honda Amaze,Honda,2014,274999.0,35000,Petrol
321,Mahindra XUV500,Mahindra,2013,689999.0,80000,Diesel
322,Mahindra Scorpio,Mahindra,2013,574999.0,68000,Diesel
323,Skoda Laura,Skoda,2013,374999.0,50000,Diesel
324,Volkswagen Polo,Volkswagen,2010,199999.0,60000,Diesel
325,Hyundai Elite i20,Hyundai,2016,549999.0,9000,Petrol
326,Tata Manza Aura,Tata,2012,130000.0,72000,Diesel
327,Chevrolet Sail UVA,Chevrolet,2013,210000.0,60000,Petrol
328,Renault Duster 110,Renault,2012,501000.0,38000,Diesel
329,Hyundai Verna Fluidic,Hyundai,2013,401000.0,45000,Diesel
330,Audi A4 2.0,Audi,2012,1350000.0,40000,Diesel
331,Hyundai Elantra SX,Hyundai,2013,600000.0,20000,Petrol
332,Mahindra Scorpio VLX,Mahindra,2013,610000.0,35000,Diesel
333,Mahindra KUV100 K8,Mahindra,2016,400000.0,20000,Diesel
334,Renault Scala RxL,Renault,2015,375000.0,25000,Diesel
335,Mahindra Quanto C8,Mahindra,2013,375000.0,20000,Diesel
336,Hyundai Grand i10,Hyundai,2014,365000.0,20000,Petrol
337,Hyundai i20 Active,Hyundai,2015,500000.0,18000,Petrol
338,Mahindra Xylo E4,Mahindra,2012,400000.0,35000,Diesel
339,Hyundai Grand i10,Hyundai,2017,524999.0,6821,Petrol
340,Hyundai i20,Hyundai,2014,449999.0,23000,Petrol
341,Hyundai Eon,Hyundai,2014,174999.0,14000,Petrol
342,Hyundai i10,Hyundai,2012,244999.0,38000,Petrol
343,Hyundai i20 Active,Hyundai,2015,574999.0,35000,Diesel
344,Datsun Redi GO,Datsun,2017,244999.0,22000,Petrol
345,Toyota Etios Liva,Toyota,2011,239999.0,41000,Petrol
346,Hyundai Accent,Hyundai,2010,99999.0,45000,Petrol
347,Hyundai Verna,Hyundai,2014,489999.0,44000,Diesel
348,Maruti Suzuki Swift,Maruti,2013,324999.0,45000,Diesel
349,Toyota Fortuner,Toyota,2011,1074999.0,52000,Diesel
350,Hyundai i10 Sportz,Hyundai,2012,230000.0,34000,Petrol
351,Mahindra Bolero Power,Mahindra,2018,699000.0,1800,Diesel
352,Mahindra XUV500,Mahindra,2015,1000000.0,15000,Diesel
353,Honda City 1.5,Honda,2010,240000.0,400000,Petrol
354,Chevrolet Spark LT,Chevrolet,2009,110000.0,44000,Petrol
355,Mahindra Jeep MM,Mahindra,2019,390000.0,60,Diesel
356,Renault Duster 110PS,Renault,2012,501000.0,35000,Diesel
357,Mahindra XUV500,Mahindra,2016,1130000.0,72000,Diesel
358,Tata Indigo eCS,Tata,2014,250000.0,40000,Diesel
359,Mahindra Bolero SLE,Mahindra,2013,330000.0,80200,Diesel
360,Force Motors Force,Force,2015,580000.0,3200,Diesel
361,Skoda Rapid Elegance,Skoda,2013,340000.0,48000,Diesel
362,Tata Vista Quadrajet,Tata,2011,120000.0,90000,Diesel
363,Maruti Suzuki Alto,Maruti,2015,265000.0,12000,Petrol
364,Maruti Suzuki SX4,Maruti,2012,265000.0,46000,Diesel
365,Maruti Suzuki Zen,Maruti,2003,85000.0,69900,Petrol
366,Mahindra Jeep CL550,Mahindra,2019,379000.0,0,Diesel
367,Hyundai i10 Magna,Hyundai,2011,175000.0,45000,Petrol
368,Maruti Suzuki Alto,Maruti,2015,219000.0,5000,Petrol
369,Maruti Suzuki Swift,Maruti,2016,350000.0,166000,Diesel
370,Honda City ZX,Honda,2008,149000.0,42000,Petrol
371,Mahindra Jeep CL550,Mahindra,2018,385000.0,588,Diesel
372,Mahindra Jeep MM,Mahindra,2006,425000.0,122,Diesel
373,Chevrolet Beat Diesel,Chevrolet,2017,150000.0,62000,Diesel
374,Honda City 1.5,Honda,2010,225000.0,70000,Petrol
375,Hyundai Verna 1.4,Hyundai,2014,375000.0,36000,Petrol
376,Toyota Innova 2.5,Toyota,2012,770000.0,0,Diesel
377,Maruti Suzuki Alto,Maruti,2018,404688.53,24000,Petrol
378,Maruti Suzuki Maruti,Maruti,1995,30000.0,55000,Petrol
379,Toyota Etios,Toyota,2011,275000.0,36000,Diesel
380,Volkswagen Polo,Volkswagen,2015,330000.0,38000,Diesel
381,Maruti Suzuki Swift,Maruti,2014,335000.0,55000,Diesel
382,Hyundai Elite i20,Hyundai,2015,450000.0,20000,Diesel
383,Maruti Suzuki Swift,Maruti,2012,225000.0,40000,Petrol
384,Maruti Suzuki Versa,Maruti,2004,80000.0,50000,Petrol
385,Tata Indigo LX,Tata,2016,130000.0,104000,Diesel
386,Volkswagen Vento Konekt,Volkswagen,2011,245000.0,65000,Diesel
387,Mercedes Benz C,Mercedes,2002,399000.0,41000,Petrol
388,Maruti Suzuki Ertiga,Maruti,2013,450000.0,90000,Diesel
389,Honda City,Honda,2000,65000.0,80000,Petrol
390,Hyundai Santro Xing,Hyundai,2006,75000.0,46000,Petrol
391,Maruti Suzuki Omni,Maruti,2001,70000.0,70000,Petrol
392,Hyundai Sonata Transform,Hyundai,2017,190000.0,36469,Diesel
393,Hyundai Elite i20,Hyundai,2018,600000.0,7800,Petrol
394,Volkswagen Vento Konekt,Volkswagen,2011,245000.0,65000,Diesel
395,Maruti Suzuki Alto,Maruti,2017,240000.0,60000,Petrol
396,Maruti Suzuki Alto,Maruti,2011,155000.0,32000,Petrol
397,Honda Jazz S,Honda,2009,169999.0,24695,Petrol
398,Hyundai Grand i10,Hyundai,2017,450000.0,15141,Petrol
399,Maruti Suzuki Zen,Maruti,2001,40000.0,40000,Petrol
400,Mahindra Scorpio W,Mahindra,2012,165000.0,65000,Diesel
401,Maruti Suzuki Alto,Maruti,2014,270000.0,22000,Petrol
